X0, Y0, X5, Y5, X10, Y10, X15, Y15, X20, Y20, X25, Y25, X30, Y30, X35, Y35, X40, Y40, X45, Y45, X50, Y50, X55, Y55, X60, Y60, X65, Y65, X70, Y70, X75, Y75, X80, Y80, X85, Y85, X90, Y90, X95, Y95, X100, Y100, Symbol
3.644856,1.625195,3.333501,1.284816,2.726295,0.7791395,2.021682,-0.008983135,1.65815,-0.2554636,0.6655321,-0.8075347,-0.0632925,-0.9597082,-0.3826752,-0.9221792,-1.050167,-0.6437492,-1.586255,-0.3659182,-1.87795,0.3283486,-1.84719,1.347294,-1.597705,1.575525,-0.7868061,2.446616,-0.4075212,2.606936,0.4119654,2.969949,2.050136,3.30743,3.287375,3.211541,4.022655,2.688155,4.340458,1.887571,4.114295,0.2967663,1
2.815912,0.8969021,2.639305,0.6540227,2.009884,-0.1864719,1.679726,-0.4299927,0.5505514,-1.059055,0.1846952,-1.114183,-0.1830273,-1.160617,-0.6477594,-0.7261248,-0.9636517,-0.5272079,-1.201109,0.1694698,-1.480708,0.6582284,-1.440669,1.166128,-0.979969,1.675059,-0.1376762,2.239172,0.3612976,2.3943,1.556199,2.590227,2.078093,2.508113,3.124959,1.892335,3.41402,1.659302,3.521624,1.333549,3.176562,-0.03766537,1
0.3524971,-0.572084,-0.08936787,-0.7990232,-0.4737024,-1.132057,-1.320087,-1.536645,-2.952246,-1.292943,-3.031722,-0.8419909,-3.031722,-0.8419909,-3.306224,-0.02420282,-3.493032,0.4534988,-3.33816,1.197073,-2.939955,1.561428,-1.636027,2.338665,-1.027507,2.487442,0.1365738,2.43432,0.624011,2.308468,0.9499903,2.121846,1.593253,1.584283,1.702418,1.306905,1.420124,0.5276837,0.840642,-0.4623127,0.6125822,-1.067492,1
1.07652,-1.662972,1.07652,-1.662972,0.4629393,-1.629292,-0.5725689,-1.496412,-0.5725689,-1.496412,-1.555365,-0.7874827,-1.887882,-0.5732427,-2.030166,0.3965836,-1.99159,0.8162913,-1.757269,1.315828,-1.270288,2.139289,-1.270288,2.139289,-0.2991657,2.541567,0.2190466,2.6727,0.852459,2.696187,1.992365,2.397647,2.410341,2.198889,2.838333,1.858727,2.966567,1.04279,2.825672,0.6712132,2.321148,-1.200666,1
2.46999,1.368248,2.60245,1.453177,2.73789,0.7594066,1.82188,-0.5268159,1.82188,-0.5268159,0.313756,-1.231866,-0.6767006,-1.211552,-1.143609,-1.218007,-1.143609,-1.218007,-2.229179,-0.6625047,-2.513325,0.01151276,-2.791113,0.5663705,-2.617912,1.649816,-2.617912,1.649816,-1.788647,2.482069,-0.2243986,2.890089,0.4361601,3.011792,1.208468,3.014612,2.2355,2.660901,2.602377,1.820865,2.841128,0.3817439,1
3.801417,1.075868,3.819075,0.8493896,3.206349,-0.3844066,2.694671,-1.475254,1.723374,-2.062934,0.900094,-2.217342,-0.5501308,-2.204168,-1.368114,-1.936057,-2.551099,-1.381991,-2.418605,-0.8691077,-2.804939,-0.5852318,-2.77399,0.6792469,-2.477876,1.060461,-1.35328,2.085192,-1.35328,2.085192,0.3834305,2.728584,1.409924,2.868247,2.39635,2.71317,3.541083,2.206017,3.881159,1.810091,4.282058,0.4143267,1
3.274941,-0.1367307,3.274941,-0.1367307,2.421682,-1.484019,1.531059,-2.020109,0.8181219,-2.203523,-0.4920826,-1.736249,-0.9942684,-1.363121,-1.83695,-0.8398614,-2.237366,0.180378,-2.055234,0.7773046,-1.620636,1.384606,-1.182248,2.331758,-0.5995646,2.606951,0.3260231,2.92017,1.824981,2.97234,1.824981,2.97234,2.846905,2.418263,3.176964,2.005594,3.421454,1.518595,3.247674,0.6725936,2.757354,-0.3927407,1
2.713406,1.314526,2.841666,1.315135,2.844887,1.018515,2.157582,-0.1281524,0.6923103,-1.348818,0.6923103,-1.348818,-0.6784458,-1.387617,-2.469559,-0.868938,-2.216734,-0.7550988,-2.972207,0.8472495,-2.972207,0.8472495,-2.53317,1.428737,-1.730667,2.333136,-1.275406,2.589004,0.4642229,3.010986,1.01052,2.950428,2.119341,2.528882,2.420745,2.247639,2.630941,1.858426,2.828256,0.9624724,2.674797,-0.3218985,1
1.128062,-0.9142625,0.5013933,-0.9817672,-0.3327532,-0.6967673,-0.9841628,-0.5246038,-1.634127,-0.1385112,-1.939503,0.8117738,-1.939503,0.8117738,-2.056314,1.277747,-2.035156,1.705024,-1.896171,2.057847,-1.584888,2.40278,-0.337224,2.914918,-0.337224,2.914918,1.053222,3.132468,1.836181,3.146355,1.836181,3.146355,2.994859,2.207438,2.994859,2.207438,3.070275,1.797692,3.070275,1.797692,2.504547,0.4061093,1
-0.8924074,-1.408391,-1.646072,-1.090968,-1.646072,-1.090968,-2.135412,-0.7512159,-2.40254,-0.2620678,-2.333501,0.1903558,-2.269081,0.7609434,-2.072895,1.373127,-1.251369,2.360795,-1.251369,2.360795,-0.8615766,2.644538,0.4044628,3.062389,1.145814,3.246672,2.047379,3.287079,2.574881,3.091049,2.996794,2.8129,3.33922,2.057719,3.33922,2.057719,2.8448,0.7249446,2.8448,0.7249446,2.09211,-0.4174643,1
2.07056,0.4157786,2.07056,0.4157786,1.465965,-0.6166677,1.152512,-1.006933,0.005941391,-1.205348,-0.4736176,-1.213364,-0.9095016,-1.123201,-2.030785,-0.5898952,-2.267912,0.01916361,-2.188088,0.2112479,-1.943078,1.312933,-2.00699,1.802783,-1.267801,2.618416,0.0987978,3.045128,0.0987978,3.045128,1.343611,2.963876,2.155788,2.360249,2.527496,1.894479,2.516248,1.302561,2.463391,0.7069426,2.214879,-0.6988358,1
0.3715057,-1.252679,0.3715057,-1.252679,-0.5953188,-0.896028,-1.593549,-0.5025845,-2.021392,0.04129457,-2.073342,0.4065289,-2.543256,1.696098,-2.10461,2.61392,-1.680526,3.169787,0.05784893,3.691544,0.7074347,3.761034,1.323873,3.665951,2.306306,3.042604,2.436419,2.67215,2.387396,1.74735,2.00666,1.190284,1.570702,0.8047724,0.3186436,-0.1332059,-0.6133204,-0.3365674,-0.8145795,-0.7352595,-0.7062607,-0.9555025,1
-1.18337,-1.509607,-2.169155,-1.411257,-3.021552,-0.9895051,-3.272059,-0.3777452,-2.8542,0.02259588,-3.236859,0.6569791,-2.880578,1.924347,-2.488086,2.384235,-2.143685,2.747591,-1.63488,3.332955,0.02972889,3.511467,0.5336628,3.690922,1.643117,3.154274,1.643117,3.154274,2.215677,2.268086,2.157108,1.759167,1.413327,0.610137,0.3316822,-0.7911887,0.3316822,-0.7911887,-0.3500099,-0.9618318,-0.4407663,-1.105115,1
-1.540522,-1.397161,-2.358318,-0.8520985,-2.358318,-0.8520985,-2.23904,-0.8762078,-2.424289,0.1193171,-2.278045,0.624558,-2.278045,0.624558,-2.222923,1.370068,-2.267872,1.761047,-1.283691,2.598267,-0.7639627,1.961153,1.241686,3.488091,1.241686,3.488091,2.259651,3.220513,2.772597,2.863547,3.196379,2.477206,3.347323,1.839355,3.291703,1.514837,2.891298,0.9440885,2.394547,0.3733649,1.807783,-0.6704488,1
2.565074,0.4703822,2.653956,0.3676181,1.519101,-0.9569316,1.519101,-0.9569316,-0.002435684,-1.535093,-0.002435684,-1.535093,-1.169885,-1.560541,-1.584282,-1.163381,-1.722282,-0.8799872,-2.225603,0.1033955,-2.149951,0.5711265,-1.68619,1.596662,-1.68619,1.596662,-0.6769705,2.483649,0.1964121,2.818825,1.022492,2.857801,2.468435,2.616803,2.987342,2.319657,3.203297,1.86258,3.237558,1.312132,3.243647,-0.5517402,1
-2.806963,-1.428235,-2.986561,-0.5105705,-2.104281,1.170427,-1.536865,2.315871,-1.536865,2.315871,-0.4045267,3.084257,0.5097952,3.335375,1.919623,3.199914,2.379169,2.982691,2.859052,2.281737,2.890759,1.713281,2.771204,1.310857,1.771247,-0.08732176,0.42239,-0.8606229,0.42239,-0.8606229,-0.6449423,-0.914464,-2.047926,-0.5115962,-2.323019,-0.08041525,-2.560602,0.3731484,-2.183202,0.02295494,-1.695477,0.2180028,1
-0.5163317,0.1712565,-0.8492165,-0.1678815,-0.8492165,-0.1678815,-2.194914,-0.7092352,-2.4458,-0.8309159,-2.966846,-0.7689128,-3.670378,-0.1287508,-3.670378,-0.1287508,-3.730271,0.7185907,-3.698453,0.9161072,-3.155765,2.53106,-3.155765,2.53106,-2.006524,3.314488,-1.171069,3.318512,0.6122684,3.174387,0.6122684,3.174387,1.016992,2.799327,1.301752,2.382901,1.358293,1.472952,1.358293,1.472952,1.090097,-0.07621574,1
-0.7439137,-2.09049,-1.316225,-2.376335,-1.842661,-2.32394,-2.925147,-1.632978,-3.176337,-1.25388,-3.277582,-0.8942533,-3.445366,-0.05830956,-3.390596,1.068359,-3.390596,1.068359,-2.989118,1.976448,-2.989118,1.976448,-1.596659,2.783747,0.08164024,3.047472,0.7783365,2.901338,1.286509,2.557279,1.544285,2.142244,1.780368,1.427754,1.554548,0.8640747,1.014423,-0.3487902,0.6343222,-1.094712,0.3680925,-1.572413,1
-1.405388,-2.484862,-1.931441,-2.519066,-2.349669,-2.230315,-3.056911,-1.586386,-3.411153,-0.8968515,-3.219061,-0.09628057,-3.219061,-0.09628057,-2.922649,1.285979,-2.936159,1.458904,-2.936159,1.458904,-1.952866,2.745934,-1.293733,3.156139,-0.5581369,3.269049,0.1088123,3.317,0.973773,3.170718,1.946992,2.510187,1.946992,2.510187,2.091749,2.061822,2.173568,1.69667,2.047846,1.082324,0.938036,-0.7846403,1
-2.870963,-0.9663045,-2.719015,-0.7633324,-3.33536,0.4828725,-3.292042,0.8394022,-2.224647,1.478133,-1.691757,2.482418,-0.1186352,2.690759,0.6215363,2.909793,1.344154,2.82773,2.552547,2.330964,2.545199,1.139118,2.240376,0.7056537,0.7659426,-0.2038426,-0.293766,-0.4379392,-0.7942171,-0.505589,-2.612434,-0.4328256,-2.707016,-0.1564002,-2.903606,0.1417732,-3.07561,0.5314727,-2.990592,0.6184392,-1.930311,-0.7465262,1
0.05506229,0.05085659,0.05506229,0.05085659,0.52952,-0.2249131,0.4317608,-0.9308529,0.190588,-1.271945,-0.6294622,-1.572049,-1.155359,-1.642819,-2.158085,-1.170036,-2.293386,-0.9905159,-2.861702,-0.1196251,-3.033895,0.4703193,-2.598643,1.43939,-2.598643,1.43939,-1.595339,1.86924,-1.058381,1.910389,-0.3090963,1.541088,0.05342865,1.189399,0.5560751,0.4153848,0.5821524,-0.08753109,0.4099865,-0.8765874,0.5559855,-2.067447,1
0.5490618,-0.8914409,0.3027325,-3.813415,-0.3412514,-1.50259,-0.3412514,-1.50259,-0.3412514,-1.50259,-3.141897,-1.098754,-3.516649,-0.4041352,-3.64785,0.6566877,-3.64785,0.6566877,-3.319021,0.9259205,-2.726731,1.86095,-2.500389,1.900548,-1.711526,2.291668,-0.4899416,2.189751,-0.4899416,2.189751,0.3562889,1.362779,0.3946848,0.3956265,0.2892962,-0.02731371,-0.03045845,-0.3971515,-0.6078043,-0.8761916,-1.095833,-2.057432,1
0.003019333,0.6014509,0.157877,0.7437816,0.2706127,0.5975943,-0.2059069,-0.08348274,-0.4351559,-0.3145041,-0.4351559,-0.3145041,-1.655962,-0.7407823,-2.324825,-0.3182282,-2.324825,-0.3182282,-2.99898,0.6095576,-3.001135,1.362687,-2.727269,1.757586,-3.025625,0.7197495,-3.025625,0.7197495,-0.9488959,2.675862,0.2370615,2.558003,0.6070042,2.3437,0.863409,1.993011,0.8116865,1.217665,0.6983738,0.6882529,0.5358906,-1.155868,1
1.063671,0.9359031,1.19459,0.982954,1.383982,0.7548709,1.371336,0.4675832,1.155527,0.07852745,0.2898731,-0.556849,-0.4952917,-1.065,-1.288157,-1.101551,-2.245745,-0.6090369,-2.722533,-0.2824426,-2.877188,0.2567644,-2.996335,1.197421,-2.828959,1.638181,-2.061808,2.358716,-1.524826,2.56615,-0.02931976,2.722301,0.5817709,2.655578,1.019962,2.476741,1.432687,1.878459,1.554641,0.7295337,1.61789,-0.7795949,1
1.912411,0.5470304,1.983415,0.8199167,2.125049,0.5692129,1.437939,-0.2313757,0.9316092,-0.8738379,0.1864281,-1.412985,0.1864281,-1.412985,0.1864281,-1.412985,-2.59466,-1.149393,-2.516841,-0.3693337,-2.426089,0.02161694,-2.348729,0.7891588,-2.348729,0.7891588,-1.814912,1.790585,-2.295427,1.520861,-0.1174269,2.408874,1.037651,2.450994,1.037651,2.450994,1.682658,1.863335,1.877795,1.501878,2.355565,-0.3132358,1
2.041839,1.262243,2.2054,1.293118,2.038962,0.893229,1.351871,0.1231174,0.6437006,-0.3261828,-0.02524185,-0.6196089,-0.5756941,-0.8072429,-1.847796,-0.6884284,-2.43165,0.1946998,-2.847566,0.6453252,-2.776131,1.433928,-2.652141,1.909607,-2.216755,2.360409,-1.710963,2.624871,-1.232637,2.711847,0.2892475,2.772614,1.19671,2.511027,1.52984,2.202401,1.898189,1.847158,2.150572,1.086695,2.128056,-0.6447082,1
2.177074,0.9687586,2.299291,0.9245186,1.912229,0.4080672,1.424802,-0.000796795,0.5741081,-0.487679,-0.8277316,-1.14108,-0.8277316,-1.14108,-0.8277316,-1.14108,-3.622886,-0.145946,-3.728468,0.1491361,-3.224236,1.116889,-3.156587,1.536518,-3.11326,0.8997169,-1.829944,2.3883,-1.222102,2.348384,0.8478651,1.95111,1.343225,1.625045,1.786206,1.260945,2.004073,1.015404,2.05281,0.1865368,1.833727,-1.201369,1
1.580095,0.6573567,1.541076,0.5433354,1.168669,-0.1604686,0.6177044,-0.5672069,0.6177044,-0.5672069,-0.908618,-1.320763,-2.570099,-1.25259,-2.689975,-0.970778,-2.689975,-0.970778,-3.422837,0.4560785,-3.214176,0.8299546,-2.717237,1.485063,-2.717237,1.485063,-1.964757,1.8131,-0.2351236,2.202657,0.2839479,2.094222,0.8477964,2.019105,1.667337,1.563208,1.667337,1.563208,2.002762,0.06380033,1.87568,-0.7034354,1
1.758975,0.3695569,2.023839,1.360908,2.22347,1.399579,2.533414,1.101705,2.657434,0.7600641,2.545844,0.3647275,1.596242,-0.4454637,0.5965958,-0.8175263,0.5965958,-0.8175263,-0.8375263,-0.4982662,-1.530535,0.2763944,-1.825575,1.247953,-1.855339,1.835913,-1.596983,2.241906,-0.7363596,2.743764,0.6402254,3.140694,0.6402254,3.140694,1.641426,2.847929,2.039843,2.230762,2.061165,1.909154,2.111922,0.7244935,1
1.955001,1.354297,1.955001,1.354297,1.238108,0.4477501,1.238108,0.4477501,-0.2075224,-0.5925422,-0.2075224,-0.5925422,-0.2075224,-0.5925422,-2.753074,-1.228904,-2.686042,-0.06616545,-2.927246,0.3581781,-2.876145,0.6248446,-2.953488,1.169856,-2.612625,1.444424,-3.115912,0.8134265,-3.115912,0.8134265,-0.1135559,2.441648,-0.1135559,2.441648,1.264765,2.368118,1.619232,2.052321,2.016238,1.602293,2.421722,0.008182526,1
2.201858,0.6585622,2.201858,0.6585622,1.871918,0.2884231,1.227275,-0.1046576,0.3318024,-0.6104689,0.3318024,-0.6104689,-2.684771,-0.9587479,-2.79253,-0.454,-2.743484,-0.2061892,-3.040856,0.3938918,-2.986073,0.6723051,-2.624198,1.411641,-3.149561,1.082789,-2.086476,1.872808,-0.5040216,2.322742,0.3048449,2.336629,1.512053,2.120118,1.939083,1.64057,2.184193,1.312179,2.32783,1.019824,2.328086,-0.8788986,1
