X0, Y0, X5, Y5, X10, Y10, X15, Y15, X20, Y20, X25, Y25, X30, Y30, X35, Y35, X40, Y40, X45, Y45, X50, Y50, X55, Y55, X60, Y60, X65, Y65, X70, Y70, X75, Y75, X80, Y80, X85, Y85, X90, Y90, X95, Y95, X100, Y100, Symbol
1, 0.6546402, 0.9136098, 0.7234651, 0.8616091, 0.6554523, 0.8452325, 0.5729555, 0.7953091, 0.400352, 0.7483391, 0.2848795, 0.3875982, 0.01244554, 0.286541, 0, 0.1010421, 0.1215716, 0.04027045, 0.2065744, 0.003132998, 0.415513, 0.03021866, 0.661921, 0.1364797, 0.8437858, 0.2140387, 0.9186261, 0.4023625, 1, 0.6230208, 0.9950694, 0.785518, 0.9020691, 0.8464768, 0.841601, 0.9161011, 0.6812454, 0.9225716, 0.4291125, 0.9225716, 0.4291125, O
1, 0.6989873, 0.9910547, 0.7288486, 0.9575032, 0.6338063, 0.9276521, 0.542886, 0.7085397, 0.2267113, 0.4887259, 0.03078233, 0.3606622, 0, 0.2704031, 0.02052631, 0.1772715, 0.08724695, 0.07300718, 0.2949539, 0, 0.5383307, 0.02306925, 0.6704407, 0.1266661, 0.8571317, 0.2097367, 0.9311758, 0.321461, 0.9678084, 0.5400785, 1, 0.6416164, 0.9783545, 0.8251881, 0.8299983, 0.89661, 0.7505938, 0.9589431, 0.3197045, 0.9589431, 0.3197045, O
0.9886054, 0.2897239, 0.9217867, 0.2188187, 0.8297428, 0.1508883, 0.6401571, 0.004704876, 0.5273113, 0, 0.4215783, 0.005271789, 0.1997652, 0.1290532, 0.1034128, 0.2235298, 0.04515428, 0.3436581, 0.01296452, 0.4802495, 0.02068315, 0.7459697, 0.07631934, 0.849725, 0.1502966, 0.9157199, 0.4309002, 1, 0.5565238, 0.9901335, 0.8006791, 0.8927396, 0.8915654, 0.8080718, 0.9546351, 0.7525447, 0.988952, 0.647442, 1, 0.5537798, 1, 0.5537798, O
0.9824107, 0.2335326, 0.9146448, 0.2239262, 0.7730454, 0.1633688, 0.6866794, 0.06675006, 0.4319763, 0, 0.4319763, 0, 0.2268786, 0.1050322, 0.1284256, 0.1984876, 0.0597189, 0.281443, 0.04389451, 0.4021042, 0.02013378, 0.685681, 0.06386745, 0.7843184, 0.1411064, 0.8785616, 0.2629797, 0.9421818, 0.3715359, 0.9831923, 0.6755964, 0.9614722, 0.8146244, 0.9230505, 0.9109693, 0.8206562, 0.9621554, 0.7586624, 1, 0.6506653, 1, 0.6506653, O
1, 0.2324958, 0.7577765, 0.09634413, 0.631089, 0.02317615, 0.3963681, 0.02186629, 0.1971817, 0.1260033, 0.1239756, 0.1914967, 0, 0.4082644, 0.005431332, 0.551451, 0.04843009, 0.7785923, 0.2345734, 0.9348124, 0.7689252, 0.245099, 0.6623597, 1, 0.7681915, 0.967639, 0.918004, 0.8506556, 0.9730732, 0.6872316, 0.944939, 0.5190858, 0.9347534, 0.4537752, 0.8536971, 0.3307553, 0.8164499, 0.2949663, 0.7689252, 0.245099, 0.7689252, 0.245099, O
0.9703041, 0.7252077, 0.8076591, 0.5918869, 0.5781403, 0.3158479, 0.3744585, 0.1579297, 0.2927546, 0.08443847, 0.1724679, 0, 0.08079411, 0.06117872, 0.03445129, 0.2913432, 0.01873972, 0.5377171, 0, 0.7879503, 1, 0.04292178, 0.1003106, 1, 0.1172795, 0.9913566, 0.2136938, 0.8744972, 0.2962073, 0.7693859, 0.5291342, 0.5240105, 0.8295209, 0.2034184, 0.8746623, 0.1513696, 0.9815216, 0.1004119, 0.9966017, 0.06832535, 1, 0.04292178, X
0.9868398, 0.8839829, 0.9564264, 0.9852571, 0.8731136, 0.9413027, 0.8136169, 0.7503597, 0.6979515, 0.5125066, 0.4233319, 0.1580402, 0.2965602, 0.02008912, 0.214075, 0, 0.1006365, 0.2019836, 0.01973133, 0.3302801, 0, 0.5061903, 0.01899506, 0.7387003, 0.02490772, 0.8312491, 0.06928825, 0.8807265, 0.1630069, 0.8286998, 0.3870145, 0.6431695, 0.6031633, 0.4926066, 0.8143156, 0.3650595, 0.9722312, 0.2220435, 0.9920093, 0.04465136, 0.9920093, 0.04465136, X
0.9435322, 0.8120846, 0.8862391, 0.9814137, 0.8578342, 0.9235826, 0.7660753, 0.6730956, 0.5238642, 0.282129, 0.3101489, 0.08665107, 0.1953382, 0, 0.151736, 0.05397412, 0.1031078, 0.2688071, 0.06287704, 0.4695067, 0.02301176, 0.6838679, 0, 0.879104, 0.04096604, 0.9828191, 0.08290411, 1, 0.2453336, 0.8761956, 0.386986, 0.7290806, 0.6044987, 0.5438671, 0.8062297, 0.2987968, 0.8525538, 0.2314836, 1, 0.08009882, 1, 0.08009882, X
0.8573092, 0.897038, 0.8711566, 0.9971085, 0.8150893, 0.9127185, 0.6985371, 0.727879, 0.5011992, 0.4350059, 0.3426403, 0.2539365, 0.1896848, 0.1118909, 0.1367245, 0.02369156, 0.08051841, 0.1204781, 0.01266625, 0.4218574, 0.01048451, 0.5407408, 0.01124858, 0.828996, 0.02666219, 0.9018768, 0.0454517, 0.9515902, 0.1295534, 0.9019087, 0.2813182, 0.8085667, 0.4827967, 0.6650195, 0.7039418, 0.4710316, 0.9479563, 0.1980942, 0.9949414, 0.1366891, 1, 0, X
0.9325984, 0.8154674, 0.9006868, 0.9695841, 0.8590304, 1, 0.7448379, 0.753138, 0.6307271, 0.6010817, 0.3325162, 0.2757485, 0.1516032, 0.1605005, 0.02314561, 0.2551176, 0.008569953, 0.4335657, 0, 0.7097718, 0.05605675, 0.8975513, 0.1120364, 0.9272925, 0.2063868, 0.8721331, 0.4508104, 0.682373, 0.6288296, 0.4920418, 0.8409467, 0.2529555, 0.9783161, 0.1440001, 0.9870431, 0.1559426, 0.9897376, 0.1235877, 0.9779953, 0, 0.9779953, 0, X
