X0, Y0, X5, Y5, X10, Y10, X15, Y15, X20, Y20, X25, Y25, X30, Y30, X35, Y35, X40, Y40, X45, Y45, X50, Y50, X55, Y55, X60, Y60, X65, Y65, X70, Y70, X75, Y75, X80, Y80, X85, Y85, X90, Y90, X95, Y95, X100, Y100, Symbol
0.9904827, 0.820678, 0.9694655, 0.8299533, 0.9953082, 0.8397689, 0.9749876, 0.860522, 0.893169, 0.9240581, 0.7096325, 0.9917894, 0.4228953, 0.9989524, 0.1064589, 0.9286565, 0.02768496, 0.7527686, 0.2196395, 0.6294039, 0.5082473, 0, 0.742408, 0.6739339, 0.5286869, 0.7160404, 0.144211, 0.5824744, 0.05931869, 0.3858785, 0.5815704, 0.3649319, 0.61108, 0.4374454, 0.305729, 0.3952548, 0.1432705, 0.2417782, 0.4069708, 0.06351829, 0.5082473, 0, Tornado
0.898428, 0.5798038, 0.9901853, 0.7886782, 0.9150941, 0.9001124, 0.824931, 0.9557925, 0.5040599, 0.9999694, 0.2162246, 0.9719329, 0.0162611, 0.8210604, 0.1274653, 0.6833242, 0.6708618, 0.6221748, 0.877092, 0.6846793, 0.7515816, 0.7632648, 0.388673, 0.6888083, 0.182274, 0.5393016, 0.4753113, 0.3628712, 0.7365749, 0.3559613, 0.7832878, 0.4805729, 0.5419434, 0.4806859, 0.3321893, 0.312411, 0.4681884, 0.1819915, 0.7044346, 0.06644416, 0.6873063, 0, Tornado
0.8488825, 0.5140486, 0.9808954, 0.7384236, 0.9743921, 0.8179933, 0.8666704, 0.9563381, 0.6194986, 0.9892852, 0.1437772, 0.8985483, 0.001716097, 0.7920347, 0.1333236, 0.6052071, 0.5316678, 0.5151148, 0.6897978, 0.6068601, 0.5157565, 0.01382045, 0.1801468, 0.494947, 0.178772, 0.3648812, 0.4934758, 0.1972712, 0.7501888, 0.2341886, 0.6261064, 0.3644416, 0.2681503, 0.2507196, 0.2144235, 0.07810988, 0.4650063, 0.04032763, 0.5547245, 0, 0.5157565, 0.01382045, Tornado
0.8967614, 0.5944907, 0.9666857, 0.8317934, 0.8794772, 0.9140911, 0.642028, 0.9826888, 0.3367413, 0.9944374, 0.07488396, 0.9247223, 0.02306855, 0.729876, 0.1497446, 0.6271235, 0.6832235, 0.5683317, 0.7678619, 0.6825978, 0.5808954, 0.7207502, 0.3768108, 0.6625639, 0.2052417, 0.4544247, 0.3416581, 0.3104218, 0.7488677, 0.2875192, 0.713127, 0.4269156, 0.4827009, 0.4185813, 0.2258049, 0.2573933, 0.4119118, 0.07375608, 0.6134181, 0.02341304, 0.6580795, 0.04138711, Tornado
0.9366971, 0.556026, 1, 0.8019242, 0.9119992, 0.866991, 0.6824293, 0.9640121, 0.4111441, 0.9929813, 0.09063825, 0.9272032, 0, 0.7566594, 0.1267286, 0.6302008, 0.645722, 0.563709, 0.771055, 0.6405904, 0.6625541, 0.006842783, 0.3683078, 0.6452039, 0.1853948, 0.5138962, 0.4129034, 0.2829717, 0.6613603, 0.2435293, 0.767711, 0.326961, 0.6278676, 0.3877885, 0.3311628, 0.2130168, 0.4423679, 0.07566639, 0.6115827, 0, 0.6625541, 0.006842783, Tornado
0.9311836, 0.4788267, 1, 0.7807029, 0.8680341, 0.9184017, 0.4890816, 0.9946058, 0.2366915, 0.9842865, 0.02044571, 0.8340964, 0.06964655, 0.6583537, 0.2101863, 0.5796027, 0.7002382, 0.5915069, 0.6923589, 0.714664, 0.5734953, 0.7284737, 0.2504683, 0.6224501, 0.1588134, 0.4253605, 0.2927169, 0.246022, 0.6214986, 0.2453522, 0.6731545, 0.3431139, 0.5586193, 0.4165398, 0.2813552, 0.2774449, 0.2637008, 0.1129176, 0.4757293, 0, 0.5404587, 0.006900384, Tornado
0.914829, 0.3921759, 1, 0.6872892, 0.9615191, 0.8349209, 0.678027, 0.9987217, 0.386286, 0.9956787, 0.0539997, 0.8942243, 0, 0.7067613, 0.167111, 0.6627229, 0.6797509, 0.6563499, 0.6559831, 0.7496247, 0.5182247, 0.117099, 0.2152803, 0.663983, 0.1528984, 0.4532867, 0.4899733, 0.2773549, 0.6879905, 0.3037949, 0.6272913, 0.4319045, 0.3719339, 0.3836384, 0.2512914, 0.1582873, 0.3549495, 0.04318668, 0.4801846, 0.06376003, 0.5182247, 0.117099, Tornado
0.9005152, 0.518415, 1, 0.7919155, 0.795042, 0.9596458, 0.3895186, 0.9994493, 0.100255, 0.9080322, 0.6067838, 0.07825968, 0.1345051, 0.6301025, 0.9013127, 0.5657258, 0.9024608, 0.6789777, 0.6095975, 0.7386756, 0.2556508, 0.6120017, 0.1684248, 0.410978, 0.537594, 0.2137277, 0.7549165, 0.2830411, 0.7236478, 0.4153333, 0.6067838, 0.07825968, 0.3409742, 0.1801319, 0.3928669, 0.09340628, 0.5446621, 0.0253209, 0.601643, 0.01265264, 0.6067838, 0.07825968, Tornado
0.969252, 0.5759237, 1, 0.7600751, 0.8227559, 0.9167979, 0.4711714, 1, 0.1071623, 0.9087125, 0.03839706, 0.6369529, 0.06587842, 0.5578134, 0.7085156, 0.5602244, 0.835127, 0.6852786, 0.7844211, 0.7539524, 0.6155803, 0.7703551, 0.3032162, 0.5709476, 0.33079, 0.3332651, 0.5808036, 0.2978707, 0.7500136, 0.3398643, 0.6252294, 0.3893663, 0.332855, 0.2328409, 0.3087584, 0.1062513, 0.4473358, 0.02784815, 0.5844327, 0, 0.6164733, 0.02198966, Tornado
0.9115221, 0.5452025, 0.9958212, 0.7611345, 0.930328, 0.8931762, 0.5279999, 0.9908957, 0.2744277, 0.973895, 0.01102128, 0.7895654, 0.1975038, 0.5466439, 0.5888541, 0.5316417, 0.7430013, 0.646453, 0.6108183, 0.6951922, 0.5625279, 0, 0.1575119, 0.4713921, 0.4051594, 0.2903856, 0.7226065, 0.2506237, 0.7891141, 0.3413574, 0.473951, 0.3577809, 0.2692833, 0.2112567, 0.2952127, 0.092664, 0.4878288, 0.05321501, 0.4967013, 0.04066898, 0.5625279, 0, Tornado
0.8819968, 0.4800771, 0.9951405, 0.6839213, 0.9239626, 0.8585918, 0.6353353, 0.9829436, 0.2966064, 0.9729217, 0.09200038, 0.8605306, 0.02997354, 0.6649191, 0.3300864, 0.5998421, 0.6970226, 0.5534071, 0.7916049, 0.6284446, 0.5352597, 0.6689478, 0.2893247, 0.6064093, 0.1178929, 0.4063021, 0.4048225, 0.2803529, 0.6649985, 0.2771301, 0.6876297, 0.396367, 0.4235006, 0.4085335, 0.2472189, 0.3118187, 0.3161821, 0.1094819, 0.4887032, 0.008953827, 0.5666206, 0, Tornado
0.9736994, 0.4699815, 1, 0.6887916, 0.8981277, 0.8705679, 0.5501851, 1, 0.2186062, 0.95826, 0, 0.7668024, 0.01942082, 0.6486769, 0.4893656, 0.5603853, 0.9133529, 0.5926802, 0.8787173, 0.700295, 0.6204672, 0.7195547, 0.2935827, 0.5807987, 0.1970465, 0.4225316, 0.5351509, 0.271708, 0.8208106, 0.2661789, 0.779487, 0.3901164, 0.5136003, 0.3851424, 0.2755527, 0.1612518, 0.4323878, 0.06775364, 0.639942, 0.005478451, 0.6860942, 0.0142348, Tornado
0.9234335, 0.3626229, 0.9947691, 0.5986123, 0.9617425, 0.8243496, 0.6147752, 0.9817766, 0.4126392, 1, 0.03965382, 0.873298, 0.0917609, 0.6406342, 0.5763422, 0.5348661, 0.8464905, 0.5940362, 0.6485986, 0.6663696, 0.307836, 0.6176115, 0.1951671, 0.4472178, 0.1859061, 0.3800726, 0.8267692, 0.278322, 0.8553609, 0.4077148, 0.574622, 0.4084746, 0.2780778, 0.2067545, 0.4386391, 0.07305764, 0.5373042, 0.02788536, 0.5425985, 0.05699812, 0.6148626, 0, Tornado
0.9716279, 0.6005169, 0.9637354, 0.8260758, 0.8843752, 0.9257926, 0.5149461, 0.9950787, 0.1321895, 0.9350281, 0.002095418, 0.7716905, 0.2071067, 0.5798231, 0.5610179, 0.5325143, 0.8099127, 0.6035803, 0.7062021, 0.6940999, 0.3465601, 0.654548, 0.1272403, 0.5186417, 0.2825579, 0.3032902, 0.5535771, 0.2607371, 0.7160558, 0.3051121, 0.542031, 0.3726809, 0.3203166, 0.3117997, 0.2833277, 0.1543702, 0.4390381, 0.03118017, 0.5834964, 0, 0.6312916, 0.003289436, Tornado
0.9297609, 0.472496, 0.985947, 0.6081855, 0.9690652, 0.795961, 0.8024952, 0.9596356, 0.3474608, 0.9833481, 0.01733274, 0.8402845, 0.008907261, 0.6799499, 0.4091777, 0.5416144, 0.6988704, 0.5554094, 0.7037587, 0.6688458, 0.5698367, 0.7069538, 0.2939937, 0.5889651, 0.2395819, 0.3872156, 0.346255, 0.2866284, 0.6533576, 0.2806378, 0.5900118, 0.4273456, 0.4048645, 0.4143693, 0.2350954, 0.1734751, 0.3499835, 0.05652091, 0.5201924, 0.006629125, 0.5569674, 0.03613429, Tornado
0.8844104, 0.3844222, 0.9888847, 0.6049405, 0.9797696, 0.7740216, 0.7980924, 0.9532499, 0.5023253, 0.9970088, 0.07886496, 0.8766147, 0.006349202, 0.7470273, 0.2044228, 0.5560657, 0.5774067, 0.5681937, 0.7066033, 0.6878632, 0.5100469, 0.7160911, 0.08198712, 0.5603318, 0.05061781, 0.4119441, 0.4228289, 0.231049, 0.5852125, 0.2868297, 0.5220633, 0.4430838, 0.1096017, 0.2718073, 0.07781433, 0.2191486, 0.382163, 0.01164348, 0.4995211, 0.02826079, 0.547322, 0.04867519, Tornado
0.8703935, 0.3931644, 0.9939307, 0.5960641, 0.950036, 0.7583072, 0.5329062, 0.9756895, 0.2310467, 0.9246072, 0, 0.7605277, 0.04955532, 0.6162663, 0.5230639, 0.5250691, 0.7373751, 0.6156282, 0.6544364, 0.6738985, 0.3746068, 0.6425537, 0.1601106, 0.479495, 0.1317881, 0.3890978, 0.5734131, 0.2059654, 0.6041193, 0.3483866, 0.5139989, 0.4300157, 0.167773, 0.2111312, 0.2091223, 0.08505209, 0.4486926, 0.0092757, 0.5005339, 0.01215454, 0.5470363, 0.0222401, Tornado
0.9621566, 0.5054366, 0.9992771, 0.6938373, 0.8842648, 0.9037138, 0.5475386, 1, 0.1697699, 0.930874, 0, 0.7308663, 0.0847738, 0.5861515, 0.5850312, 0.5247792, 0.7900207, 0.6024141, 0.6577584, 0.7137811, 0.3682361, 0.6615002, 0.1835934, 0.4983169, 0.4119445, 0.2544501, 0.7127511, 0.1972281, 0.8612561, 0.3373629, 0.5786481, 0.4024498, 0.2989118, 0.275489, 0.2645037, 0.07387073, 0.4746353, 0.007291324, 0.5799764, 0.01658612, 0.6138401, 0.06884275, Tornado
0.8963825, 0.4232782, 0.9555511, 0.6773445, 0.9648923, 0.8603826, 0.8681886, 0.9681409, 0.4023618, 0.9875304, 0.1470773, 0.9133757, 0.07098176, 0.7079554, 0.2821916, 0.5967241, 0.7655091, 0.5902551, 0.7745036, 0.6830597, 0.3744307, 0.6611111, 0.1637193, 0.5488862, 0.3004564, 0.2981059, 0.6976783, 0.2477239, 0.5585459, 0.3925739, 0.1963734, 0.3806798, 0.08294791, 0.2561918, 0.2717463, 0.03546274, 0.4522171, 0.005502712, 0.5764979, 0.124892, 0.5657152, 0.1147114, Tornado
0.9754536, 0.5137815, 1, 0.7486278, 0.5889374, 0, 0.4432019, 1, 0.5889374, 0, 0.0104607, 0.7206076, 0.5889374, 0, 0.7056322, 0.6080581, 0.5889374, 0, 0.5067077, 0.7332089, 0.5889374, 0, 0.09258369, 0.5170337, 0.5889374, 0, 0.7258176, 0.376319, 0.5889374, 0, 0.3668104, 0.3876863, 0.5889374, 0, 0.4101364, 0.05660289, 0.5889374, 0, 0.5942115, 0.03911956, 0.5889374, 0, Tornado
0.810615, 0.3867248, 0.9372543, 0.6086429, 0.9914303, 0.8225689, 0.67675, 0.9820083, 0.2508109, 0.9829392, 0, 0.8019467, 0.0641486, 0.712105, 0.4515387, 0.5500224, 0.6774154, 0.6529027, 0.5565223, 0.7086798, 0.2226019, 0.6521058, 0.1062206, 0.493607, 0.4310032, 0.2958039, 0.6221127, 0.3053716, 0.6613015, 0.4206367, 0.4241242, 0.4372727, 0.2732621, 0.2621467, 0.4236333, 0.1170849, 0.5776663, 0.02872808, 0.6166556, 0.01262479, 0.6518896, 0.02448562, Tornado
0.9818261, 0.4855456, 0.9465317, 0.8149088, 0.7327891, 0.962528, 0.3807741, 1, 0.04464155, 0.8690674, 0.01252932, 0.7444963, 0.01252932, 0.7444963, 0.6942302, 0.548342, 0.6729329, 0.6460834, 0.5744503, 0.7040594, 0.3291417, 0.604875, 0.3094419, 0.3945017, 0.5176142, 0.2692291, 0.6761554, 0.2587954, 0.6388642, 0.3985872, 0.4562505, 0.4152978, 0.2789819, 0.3034034, 0.3053413, 0.1264659, 0.4474144, 0.06520099, 0.5578369, 0.06689731, 0.5543139, 0, Tornado
0.9982362, 0.4577504, 1, 0.6882603, 0.8673748, 0.9111171, 0.3636063, 1, 0.09344812, 0.9379865, 0.03318872, 0.6762712, 0.03318872, 0.6762712, 0.8428551, 0.5326464, 0.8695546, 0.6269351, 0.5876693, 0.6788681, 0.3296601, 0.5943726, 0.2011661, 0.4666187, 0.5555482, 0.2447668, 0.8372716, 0.2006883, 0.8946712, 0.2913136, 0.5908329, 0.3503404, 0.4283495, 0.2377847, 0.4213388, 0.1128541, 0.6219615, 0.01048312, 0.6708187, 0.02190165, 0.6450619, 0.0378141, Tornado
