X0, Y0, X5, Y5, X10, Y10, X15, Y15, X20, Y20, X25, Y25, X30, Y30, X35, Y35, X40, Y40, X45, Y45, X50, Y50, X55, Y55, X60, Y60, X65, Y65, X70, Y70, X75, Y75, X80, Y80, X85, Y85, X90, Y90, X95, Y95, X100, Y100, Symbol
0.8084986, 0.6093456, 0.9372342, 0.5999874, 0.9714338, 0.634482, 0.9798127, 0.68763, 0.9462823, 0.7355929, 0.87849, 0.8556091, 0.6907527, 0.9507554, 0.3176892, 0.996352, 0.002992821, 0.8256564, 0.1923392, 0.6400874, 0.7384913, 0, 0.8383117, 0.5755693, 0.5704687, 0.630037, 0.2108282, 0.4784775, 0.2222208, 0.320522, 0.6493413, 0.2468982, 0.5681352, 0.3576088, 0.4043363, 0.3077154, 0.4827006, 0.1446987, 0.7301937, 0.0654612, 0.7384913, 0, Tornado
0.9982104, 0.665302, 0.957541, 0.8610749, 0.883028, 0.9327463, 0.6838215, 0.9774312, 0.3763973, 0.9769847, 0.009820411, 0.843849, 0.08708566, 0.7049198, 0.4452491, 0.5666786, 0.7984241, 0.5928459, 0.9440348, 0.6745318, 0.6703902, 0.7361547, 0.3872684, 0.6621671, 0.3289485, 0.5639924, 0.4600252, 0.4600005, 0.9377555, 0.394069, 0.935161, 0.4656864, 0.7707038, 0.475133, 0.4123269, 0.3120685, 0.4336703, 0.1953917, 0.6531014, 0.1687002, 0.7112623, 0, Tornado
0.9006389, 0.4856406, 0.9628536, 0.726608, 0.8044767, 0.892455, 0.5355799, 0.9767208, 0.267313, 0.9920469, 0.0009184103, 0.8337789, 0.008535495, 0.6651636, 0.5453237, 0.5166329, 0.9798173, 0.5937895, 0.9465839, 0.6856719, 0.6802331, 0.7070474, 0.3021147, 0.5606241, 0.291356, 0.3737611, 0.4921522, 0.277997, 0.7872831, 0.2521032, 0.673855, 0.3970604, 0.429049, 0.355015, 0.3308058, 0.1825007, 0.5355964, 0.04168757, 0.6523073, 0.01471314, 0.6822693, 0.009857718, Tornado
0.8753773, 0.3597817, 0.9990196, 0.6679637, 0.9048875, 0.8382907, 0.6934792, 0.976826, 0.2784329, 0.9495524, 0.03318128, 0.8106391, 0.06223299, 0.5629741, 0.5831482, 0.4692605, 0.8505768, 0.5275292, 0.8571092, 0.6457973, 0.523261, 0.6316425, 0.2988063, 0.4747195, 0.4382823, 0.2768364, 0.7458675, 0.1763257, 0.9225094, 0.2524662, 0.6638836, 0.3324981, 0.390808, 0.241162, 0.4339897, 0.1131298, 0.5477518, 0.006179725, 0.7086908, 0.03942582, 0.7438386, 0.0635879, Tornado
0.9296931, 0.4293164, 0.998633, 0.722706, 0.9765817, 0.8264239, 0.7472338, 0.9611397, 0.4224715, 0.9866357, 0.1589015, 0.8824931, 5.491061E-05, 0.6534729, 0.1034373, 0.5665708, 0.8141035, 0.549943, 0.8276294, 0.6688482, 0.5284526, 0.6774086, 0.3203796, 0.5418733, 0.2912118, 0.2990982, 0.5151624, 0.1990367, 0.8468994, 0.2602758, 0.6469956, 0.4018799, 0.4734439, 0.3201877, 0.4088397, 0.1358029, 0.5395857, 0.02465319, 0.7081337, 0.06753636, 0.7468605, 0.09139805, Tornado
0.7747999, 0.3762571, 0.9044974, 0.6297316, 0.9985188, 0.8521515, 0.8148348, 0.9699634, 0.1853186, 0.8836923, 0, 0.754697, 0.1859756, 0.6241124, 0.532852, 0.5700317, 0.8306864, 0.5936065, 0.649922, 0.6531165, 0.3227832, 0.6190233, 0.06191603, 0.4501064, 0.07161687, 0.3870218, 0.644033, 0.302027, 0.710832, 0.353876, 0.5350006, 0.4008574, 0.2871563, 0.3271159, 0.2485995, 0.1414514, 0.4726848, 0, 0.6378591, 0.04751572, 0.6288171, 0.072301, Tornado
0.9356466, 0.4260553, 0.9665209, 0.6712605, 0.9555202, 0.9115235, 0.6433834, 0.9814121, 0.3119869, 0.9647326, 0, 0.8015192, 0.1182903, 0.6499614, 0.4873359, 0.575254, 0.7612342, 0.6415576, 0.708657, 0.6972353, 0.3120503, 0.6514788, 0.1566238, 0.5272103, 0.1614183, 0.4542717, 0.6253017, 0.3548364, 0.8011889, 0.4087341, 0.5013028, 0.4672408, 0.2609558, 0.3669386, 0.2645064, 0.2211951, 0.383041, 0.1001208, 0.5327011, 0.04128346, 0.5906425, 0, Tornado
0.969305, 0.4600011, 0.9959022, 0.7051314, 0.8601905, 0.931009, 0.4742689, 0.9941792, 0.05824833, 0.9002832, 0.6580032, 0.07874269, 0.3683565, 0.567499, 0.6880208, 0.5688037, 0.6842546, 0.6807753, 0.2921916, 0.6240708, 0.6580032, 0.07874269, 0.2263104, 0.2660224, 0.4641243, 0.190946, 0.7762454, 0.3052155, 0.6528203, 0.4217712, 0.3374333, 0.3060059, 0.2768151, 0.1617607, 0.360177, 0.05640386, 0.5689255, 0.023067, 0.637995, 0.0738688, 0.6580032, 0.07874269, Tornado
0.9596052, 0.4479893, 1, 0.6997748, 0.8153486, 0.9284523, 0.5457999, 0.989637, 0.08814739, 0.9017646, 0.008104039, 0.7461498, 0.1068381, 0.5782428, 0.5837246, 0.5586795, 0.8733357, 0.6206849, 0.6183157, 0.6888087, 0.3179355, 0.6171287, 0.1039665, 0.4536693, 0.3014626, 0.281304, 0.7003528, 0.2500439, 0.8068549, 0.3741911, 0.4767124, 0.3839858, 0.281964, 0.2761021, 0.3552767, 0.108157, 0.5681362, 0.06769433, 0.7364888, 0.01769786, 0.7829301, 0.006002476, Tornado
0.9980699, 0.6251232, 0.9767169, 0.8797345, 0.8425676, 0.9674608, 0.5091879, 0.9898717, 0.1660248, 0.921836, 0.03606339, 0.7318365, 0.3832382, 0.5686913, 0.6792318, 0.5768923, 0.6117456, 0.6892502, 0.3913551, 0.6969643, 0.1889687, 0.575403, 0.3075829, 0.3636497, 0.596418, 0.2858785, 0.7732455, 0.3613013, 0.6554366, 0.3962453, 0.3516711, 0.3047103, 0.2915768, 0.1769121, 0.4911197, 0.07549778, 0.608263, 0.03692866, 0.6902913, 0.02195796, 0.7676783, 0.005262874, Tornado
